bi	b_i
kuai	k_uai
kei	k_ei
kui	k_ui
kao	k_ao
kiao	k_iao
kou	k_ou
kiu	k_iu
kan	k_an
kian	k_ian
kuan	k_uan
ken	k_en
kin	k_in
kun	k_un
kang	k_ang
kiang	k_iang
kuang	k_uang
keng	k_eng
king	k_ing
kueng	k_ueng
kong	k_ong
kiong	k_iong
hi	h_i
hu	h_u
hv	h_v
ha	h_a
hia	h_ia
hua	h_ua
ho	h_o
huo	h_uo
he	h_e
hie	h_ie
hue	h_ue
hve	h_ve
hai	h_ai
huai	h_uai
hei	h_ei
hui	h_ui
hao	h_ao
hiao	h_iao
hou	h_ou
hiu	h_iu
han	h_an
hian	h_ian
huan	h_uan
hen	h_en
hin	h_in
hun	h_un
hang	h_ang
hiang	h_iang
huang	h_uang
heng	h_eng
hing	h_ing
hueng	h_ueng
hong	h_ong
hiong	h_iong
ji	j_i
ju	j_u
jv	j_v
ja	j_a
jia	j_ia
jua	j_ua
jo	j_o
juo	j_uo
je	j_e
jie	j_ie
jue	j_ue
jve	j_ve
jai	j_ai
juai	j_uai
jei	j_ei
jui	j_ui
jao	j_ao
jiao	j_iao
jou	j_ou
jiu	j_iu
jan	j_an
jian	j_ian
juan	j_uan
jen	j_en
jin	j_in
jun	j_un
jang	j_ang
jiang	j_iang
juang	j_uang
jeng	j_eng
jing	j_ing
jueng	j_ueng
jong	j_ong
jiong	j_iong
qi	q_i
qu	q_u
qv	q_v
qa	q_a
qia	q_ia
qua	q_ua
qo	q_o
quo	q_uo
qe	q_e
qie	q_ie
que	q_ue
qve	q_ve
qai	q_ai
quai	q_uai
qei	q_ei
qui	q_ui
qao	q_ao
qiao	q_iao
qou	q_ou
qiu	q_iu
qan	q_an
qian	q_ian
quan	q_uan
qen	q_en
qin	q_in
qun	q_un
qang	q_ang
qiang	q_iang
quang	q_uang
qeng	q_eng
qing	q_ing
queng	q_ueng
qong	q_ong
qiong	q_iong
xi	x_i
xu	x_u
xv	x_v
xa	x_a
xia	x_ia
xua	x_ua
xo	x_o
xuo	x_uo
xe	x_e
xie	x_ie
xue	x_ue
xve	x_ve
xai	x_ai
xuai	x_uai
xei	x_ei
xui	x_ui
xao	x_ao
xiao	x_iao
xou	x_ou
xiu	x_iu
xan	x_an
xian	x_ian
xuan	x_uan
xen	x_en
xin	x_in
xun	x_un
xang	x_ang
xiang	x_iang
xuang	x_uang
xeng	x_eng
xing	x_ing
xueng	x_ueng
xong	x_ong
xiong	x_iong
zhi	zh_i
zhu	zh_u
zhv	zh_v
zha	zh_a
zhia	zh_ia
zhua	zh_ua
zho	zh_o
zhuo	zh_uo
zhe	zh_e
zhie	zh_ie
zhue	zh_ue
zhve	zh_ve
zhai	zh_ai
zhuai	zh_uai
zhei	zh_ei
zhui	zh_ui
zhao	zh_ao
zhiao	zh_iao
zhou	zh_ou
zhiu	zh_iu
zhan	zh_an
zhian	zh_ian
zhuan	zh_uan
zhen	zh_en
zhin	zh_in
zhun	zh_un
zhang	zh_ang
zhiang	zh_iang
zhuang	zh_uang
zheng	zh_eng
zhing	zh_ing
zhueng	zh_ueng
zhong	zh_ong
zhiong	zh_iong
chi	ch_i
chu	ch_u
chv	ch_v
cha	ch_a
chia	ch_ia
chua	ch_ua
cho	ch_o
chuo	ch_uo
che	ch_e
chie	ch_ie
chue	ch_ue
chve	ch_ve
chai	ch_ai
chuai	ch_uai
chei	ch_ei
chui	ch_ui
chao	ch_ao
chiao	ch_iao
chou	ch_ou
chiu	ch_iu
chan	ch_an
chian	ch_ian
chuan	ch_uan
chen	ch_en
chin	ch_in
chun	ch_un
chang	ch_ang
chiang	ch_iang
chuang	ch_uang
cheng	ch_eng
ching	ch_ing
chueng	ch_ueng
chong	ch_ong
chiong	ch_iong
shi	sh_i
shu	sh_u
shv	sh_v
sha	sh_a
shia	sh_ia
shua	sh_ua
sho	sh_o
shuo	sh_uo
she	sh_e
shie	sh_ie
shue	sh_ue
shve	sh_ve
shai	sh_ai
shuai	sh_uai
shei	sh_ei
shui	sh_ui
shao	sh_ao
shiao	sh_iao
shou	sh_ou
shiu	sh_iu
shan	sh_an
shian	sh_ian
shuan	sh_uan
shen	sh_en
shin	sh_in
shun	sh_un
shang	sh_ang
shiang	sh_iang
shuang	sh_uang
sheng	sh_eng
shing	sh_ing
shueng	sh_ueng
shong	sh_ong
shiong	sh_iong
ri	r_i
ru	r_u
rv	r_v
ra	r_a
ria	r_ia
rua	r_ua
ro	r_o
ruo	r_uo
re	r_e
rie	r_ie
rue	r_ue
rve	r_ve
rai	r_ai
ruai	r_uai
rei	r_ei
rui	r_ui
rao	r_ao
riao	r_iao
rou	r_ou
riu	r_iu
ran	r_an
rian	r_ian
ruan	r_uan
ren	r_en
rin	r_in
run	r_un
rang	r_ang
riang	r_iang
ruang	r_uang
reng	r_eng
ring	r_ing
rueng	r_ueng
rong	r_ong
riong	r_iong
zi	z_i
zu	z_u
zv	z_v
za	z_a
zia	z_ia
zua	z_ua
zo	z_o
zuo	z_uo
ze	z_e
zie	z_ie
zue	z_ue
zve	z_ve
zai	z_ai
zuai	z_uai
zei	z_ei
zui	z_ui
zao	z_ao
ziao	z_iao
zou	z_ou
ziu	z_iu
zan	z_an
zian	z_ian
zuan	z_uan
zen	z_en
zin	z_in
zun	z_un
zang	z_ang
ziang	z_iang
zuang	z_uang
zeng	z_eng
zing	z_ing
zueng	z_ueng
zong	z_ong
ziong	z_iong
ci	c_i
cu	c_u
cv	c_v
ca	c_a
cia	c_ia
cua	c_ua
co	c_o
cuo	c_uo
ce	c_e
cie	c_ie
cue	c_ue
cve	c_ve
cai	c_ai
cuai	c_uai
cei	c_ei
cui	c_ui
cao	c_ao
ciao	c_iao
cou	c_ou
ciu	c_iu
can	c_an
cian	c_ian
cuan	c_uan
cen	c_en
cin	c_in
cun	c_un
cang	c_ang
ciang	c_iang
cuang	c_uang
ceng	c_eng
cing	c_ing
cueng	c_ueng
cong	c_ong
ciong	c_iong
si	s_i
su	s_u
sv	s_v
sa	s_a
sia	s_ia
sua	s_ua
so	s_o
suo	s_uo
se	s_e
sie	s_ie
sue	s_ue
sve	s_ve
sai	s_ai
suai	s_uai
sei	s_ei
sui	s_ui
sao	s_ao
siao	s_iao
sou	s_ou
siu	s_iu
san	s_an
sian	s_ian
suan	s_uan
sen	s_en
sin	s_in
sun	s_un
sang	s_ang
siang	s_iang
suang	s_uang
seng	s_eng
sing	s_ing
sueng	s_ueng
song	s_ong
siong	s_iong
yi	y_i
yu	y_u
yv	y_v
ya	y_a
yia	y_ia
yua	y_ua
yo	y_o
yuo	y_uo
ye	y_e
yie	y_ie
yue	y_ue
yve	y_ve
yai	y_ai
yuai	y_uai
yei	y_ei
yui	y_ui
yao	y_ao
yiao	y_iao
you	y_ou
yiu	y_iu
yan	y_an
yian	y_ian
yuan	y_uan
yen	y_en
yin	y_in
yun	y_un
yang	y_ang
yiang	y_iang
yuang	y_uang
yeng	y_eng
ying	y_ing
yueng	y_ueng
yong	y_ong
yiong	y_iong
wi	w_i
wu	w_u
wv	w_v
wa	w_a
wia	w_ia
wua	w_ua
wo	w_o
wuo	w_uo
we	w_e
wie	w_ie
wue	w_ue
wve	w_ve
wai	w_ai
wuai	w_uai
wei	w_ei
wui	w_ui
wao	w_ao
wiao	w_iao
wou	w_ou
wiu	w_iu
wan	w_an
wian	w_ian
wuan	w_uan
wen	w_en
win	w_in
wun	w_un
wang	w_ang
wiang	w_iang
wuang	w_uang
weng	w_eng
wing	w_ing
wueng	w_ueng
wong	w_ong
wiong	w_iong
i	i
u	u
v	v
a	a
ia	ia
ua	ua
o	o
uo	uo
e	e
ie	ie
ue	ue
ve	ve
ai	ai
uai	uai
ei	ei
ui	ui
ao	ao
iao	iao
ou	ou
iu	iu
an	an
ian	ian
uan	uan
en	en
in	in
un	un
ang	ang
iang	iang
uang	uang
eng	eng
ing	ing
ueng	ueng
ong	ong
iong	iong
er	er
